time,value
2019-03-14 23:52:10,8113
2019-03-14 23:52:20,7795
2019-03-14 23:52:30,7659
2019-03-14 23:52:40,8046
2019-03-14 23:52:50,7888
2019-03-14 23:53:00,7982
2019-03-14 23:53:10,7714
2019-03-14 23:53:20,7.53
2019-03-14 23:53:30,7698
2019-03-14 23:53:40,8097
2019-03-14 23:53:50,7943
2019-03-14 23:54:00,7899
2019-03-14 23:54:10,7.5
2019-03-14 23:54:20,8019
2019-03-14 23:54:30,7522
2019-03-14 23:54:40,7985
2019-03-14 23:54:50,7958
2019-03-14 23:55:00,8063
2019-03-14 23:55:10,7982
2019-03-14 23:55:20,7469
2019-03-14 23:55:30,7808
2019-03-14 23:55:40,7953
2019-03-14 23:55:50,7562
2019-03-14 23:56:00,7737
2019-03-14 23:56:10,8149
2019-03-14 23:56:20,7.62
2019-03-14 23:56:30,7794
2019-03-14 23:56:40,7672
2019-03-14 23:56:50,7705
2019-03-14 23:57:00,10487
2019-03-14 23:57:10,10054
2019-03-14 23:57:20,9935
2019-03-14 23:57:30,10445
2019-03-14 23:57:40,9787
2019-03-14 23:57:50,10585
2019-03-14 23:58:00,9752
2019-03-14 23:58:10,9403
2019-03-14 23:58:20,10028
2019-03-14 23:58:30,10264
2019-03-14 23:58:40,9681
2019-03-14 23:58:50,10.05
2019-03-14 23:59:00,10005
2019-03-14 23:59:10,9922
2019-03-14 23:59:20,10045
2019-03-14 23:59:30,9595
2019-03-14 23:59:40,11206
2019-03-14 23:59:50,11165
2019-03-15 00:00:00,11071
2019-03-15 00:00:10,10.99
2019-03-15 00:00:20,10994
2019-03-15 00:00:30,11186
2019-03-15 00:00:40,10931
2019-03-15 00:00:50,10732
2019-03-15 00:01:00,11053
2019-03-15 00:01:10,11081
2019-03-15 00:01:20,10803
2019-03-15 00:01:30,10497
2019-03-15 00:01:40,10668
2019-03-15 00:01:50,10442
2019-03-15 00:02:00,11635
2019-03-15 00:02:10,11915
2019-03-15 00:02:20,11388
2019-03-15 00:02:30,11394
2019-03-15 00:02:40,11399
2019-03-15 00:02:50,11712
2019-03-15 00:03:00,11523
2019-03-15 00:03:10,11194
2019-03-15 00:03:20,11219
2019-03-15 00:03:30,10181
2019-03-15 00:03:40,12017
2019-03-15 00:03:50,11407
2019-03-15 00:04:00,11.72
2019-03-15 00:04:10,11184
2019-03-15 00:04:20,11.2
2019-03-15 00:04:30,11899
2019-03-15 00:04:40,11321
2019-03-15 00:04:50,11746
2019-03-15 00:05:00,11743
2019-03-15 00:05:10,11935
2019-03-15 00:05:20,10975
2019-03-15 00:05:30,11941
2019-03-15 00:05:40,11817
2019-03-15 00:05:50,10718
2019-03-15 00:06:00,11948
2019-03-15 00:06:10,11458
2019-03-15 00:06:20,11676
2019-03-15 00:06:30,11437
2019-03-15 00:06:40,11327
2019-03-15 00:06:50,10387
2019-03-15 00:07:00,11642
2019-03-15 00:07:10,12441
2019-03-15 00:07:20,11185
2019-03-15 00:07:30,11519
2019-03-15 00:07:40,11442
2019-03-15 00:07:50,10791
2019-03-15 00:08:00,12003
2019-03-15 00:08:10,11877
