time,value
2019-03-14 23:52:10,436
2019-03-14 23:52:20,471
2019-03-14 23:52:30,423
2019-03-14 23:52:40,451
2019-03-14 23:52:50,439
2019-03-14 23:53:00,431
2019-03-14 23:53:10,433
2019-03-14 23:53:20,447
2019-03-14 23:53:30,403
2019-03-14 23:53:40,428
2019-03-14 23:53:50,0.42
2019-03-14 23:54:00,0.42
2019-03-14 23:54:10,0.45
2019-03-14 23:54:20,445
2019-03-14 23:54:30,393
2019-03-14 23:54:40,434
2019-03-14 23:54:50,451
2019-03-14 23:55:00,417
2019-03-14 23:55:10,439
2019-03-14 23:55:20,411
2019-03-14 23:55:30,435
2019-03-14 23:55:40,406
2019-03-14 23:55:50,443
2019-03-14 23:56:00,435
2019-03-14 23:56:10,429
2019-03-14 23:56:20,425
2019-03-14 23:56:30,424
2019-03-14 23:56:40,0.42
2019-03-14 23:56:50,408
2019-03-14 23:57:00,541
2019-03-14 23:57:10,542
2019-03-14 23:57:20,0.55
2019-03-14 23:57:30,534
2019-03-14 23:57:40,537
2019-03-14 23:57:50,545
2019-03-14 23:58:00,532
2019-03-14 23:58:10,537
2019-03-14 23:58:20,519
2019-03-14 23:58:30,506
2019-03-14 23:58:40,549
2019-03-14 23:58:50,574
2019-03-14 23:59:00,556
2019-03-14 23:59:10,532
2019-03-14 23:59:20,557
2019-03-14 23:59:30,505
2019-03-14 23:59:40,588
2019-03-14 23:59:50,592
2019-03-15 00:00:00,583
2019-03-15 00:00:10,589
2019-03-15 00:00:20,607
2019-03-15 00:00:30,568
2019-03-15 00:00:40,584
2019-03-15 00:00:50,561
2019-03-15 00:01:00,599
2019-03-15 00:01:10,559
2019-03-15 00:01:20,555
2019-03-15 00:01:30,556
2019-03-15 00:01:40,585
2019-03-15 00:01:50,558
2019-03-15 00:02:00,596
2019-03-15 00:02:10,611
2019-03-15 00:02:20,595
2019-03-15 00:02:30,577
2019-03-15 00:02:40,599
2019-03-15 00:02:50,607
2019-03-15 00:03:00,601
2019-03-15 00:03:10,606
2019-03-15 00:03:20,573
2019-03-15 00:03:30,565
2019-03-15 00:03:40,607
2019-03-15 00:03:50,588
2019-03-15 00:04:00,0.6
2019-03-15 00:04:10,585
2019-03-15 00:04:20,602
2019-03-15 00:04:30,0.63
2019-03-15 00:04:40,483
2019-03-15 00:04:50,626
2019-03-15 00:05:00,567
2019-03-15 00:05:10,596
2019-03-15 00:05:20,555
2019-03-15 00:05:30,594
2019-03-15 00:05:40,594
2019-03-15 00:05:50,537
2019-03-15 00:06:00,579
2019-03-15 00:06:10,579
2019-03-15 00:06:20,582
2019-03-15 00:06:30,566
2019-03-15 00:06:40,575
2019-03-15 00:06:50,538
2019-03-15 00:07:00,613
2019-03-15 00:07:10,599
2019-03-15 00:07:20,589
2019-03-15 00:07:30,575
2019-03-15 00:07:40,586
2019-03-15 00:07:50,555
2019-03-15 00:08:00,607
2019-03-15 00:08:10,481
2019-03-15 00:08:20,583
2019-03-15 00:08:30,566
2019-03-15 00:08:40,532
2019-03-15 00:08:50,555
2019-03-15 00:09:00,579
2019-03-15 00:09:10,581
2019-03-15 00:09:20,598
2019-03-15 00:09:30,585
2019-03-15 00:09:40,581
2019-03-15 00:09:50,571
2019-03-15 00:10:00,611
2019-03-15 00:10:10,589
2019-03-15 00:10:20,556
2019-03-15 00:10:30,974
2019-03-15 00:10:40,1068
2019-03-15 00:10:50,1007
2019-03-15 00:11:00,1036
2019-03-15 00:11:10,1072
2019-03-15 00:11:20,1.04
2019-03-15 00:11:30,944
2019-03-15 00:11:40,1047
2019-03-15 00:11:50,1132
2019-03-15 00:12:00,1194
2019-03-15 00:12:10,1128
2019-03-15 00:12:20,1128
2019-03-15 00:12:30,1165
2019-03-15 00:12:40,1129
2019-03-15 00:12:50,1052
2019-03-15 00:13:00,1161
2019-03-15 00:13:10,1237
2019-03-15 00:13:20,1226
2019-03-15 00:13:30,1292
2019-03-15 00:13:40,1.28
2019-03-15 00:13:50,1227
2019-03-15 00:14:00,1178
2019-03-15 00:14:10,1227
2019-03-15 00:14:20,1181
2019-03-15 00:14:30,1231
2019-03-15 00:14:40,1195
2019-03-15 00:14:50,1216
2019-03-15 00:15:00,1248
2019-03-15 00:15:10,1247
2019-03-15 00:15:20,1232
2019-03-15 00:15:30,1244
2019-03-15 00:15:40,1247
2019-03-15 00:15:50,1238
2019-03-15 00:16:00,1257
2019-03-15 00:16:10,1077
2019-03-15 00:16:20,1.27
2019-03-15 00:16:30,1254
2019-03-15 00:16:40,1143
2019-03-15 00:16:50,1152
2019-03-15 00:17:00,1243
2019-03-15 00:17:10,1159
2019-03-15 00:17:20,1.2
2019-03-15 00:17:30,1239
2019-03-15 00:17:40,1245
2019-03-15 00:17:50,1268
2019-03-15 00:18:00,1237
2019-03-15 00:18:10,1289
2019-03-15 00:18:20,1234
2019-03-15 00:18:30,1312
2019-03-15 00:18:40,1253
2019-03-15 00:18:50,1.21
2019-03-15 00:19:00,1209
2019-03-15 00:19:10,1189
2019-03-15 00:19:20,1252
2019-03-15 00:19:30,1222
2019-03-15 00:19:40,1258
2019-03-15 00:19:50,1249
2019-03-15 00:20:00,1232
2019-03-15 00:20:10,1244
2019-03-15 00:20:20,1214
2019-03-15 00:20:30,1218
2019-03-15 00:20:40,1237
2019-03-15 00:20:50,1.25
2019-03-15 00:21:00,1243
2019-03-15 00:21:10,1188
2019-03-15 00:21:20,1156
2019-03-15 00:21:30,1142
2019-03-15 00:21:40,1259
2019-03-15 00:21:50,1.21
2019-03-15 00:22:00,1111
2019-03-15 00:22:10,1519
2019-03-15 00:22:20,1525
2019-03-15 00:22:30,1589
2019-03-15 00:22:40,1.56
2019-03-15 00:22:50,1527
2019-03-15 00:23:00,1559
2019-03-15 00:23:10,1371
2019-03-15 00:23:20,1.61
2019-03-15 00:23:30,1717
2019-03-15 00:23:40,1699
2019-03-15 00:23:50,1634
2019-03-15 00:24:00,1623
2019-03-15 00:24:10,1679
2019-03-15 00:24:20,1616
2019-03-15 00:24:30,1726
2019-03-15 00:24:40,1761
2019-03-15 00:24:50,1696
2019-03-15 00:25:00,1.65
2019-03-15 00:25:10,1654
2019-03-15 00:25:20,1669
2019-03-15 00:25:30,1783
2019-03-15 00:25:40,1495
2019-03-15 00:25:50,1732
2019-03-15 00:26:00,1723
2019-03-15 00:26:10,1725
2019-03-15 00:26:20,1.62
2019-03-15 00:26:30,1712
2019-03-15 00:26:40,1688
2019-03-15 00:26:50,1724
2019-03-15 00:27:00,1.7
2019-03-15 00:27:10,1716
2019-03-15 00:27:20,1.7
2019-03-15 00:27:30,1666
2019-03-15 00:27:40,1702
2019-03-15 00:27:50,1707
2019-03-15 00:28:00,1683
2019-03-15 00:28:10,1.71
2019-03-15 00:28:20,1607
2019-03-15 00:28:30,1727
2019-03-15 00:28:40,1672
2019-03-15 00:28:50,1702
2019-03-15 00:29:00,1717
2019-03-15 00:29:10,1.67
2019-03-15 00:29:20,1726
2019-03-15 00:29:30,1531
2019-03-15 00:29:40,1713
2019-03-15 00:29:50,1.7
2019-03-15 00:30:00,1669
2019-03-15 00:30:10,1672
2019-03-15 00:30:20,1.64
2019-03-15 00:30:30,1.66
2019-03-15 00:30:40,1638
2019-03-15 00:30:50,1.7
2019-03-15 00:31:00,1676
2019-03-15 00:31:10,1606
2019-03-15 00:31:20,1701
2019-03-15 00:31:30,1698
2019-03-15 00:31:40,1627
2019-03-15 00:31:50,1.71
2019-03-15 00:32:00,1.68
2019-03-15 00:32:10,1479
2019-03-15 00:32:20,1614
2019-03-15 00:32:30,1658
2019-03-15 00:32:40,1613
2019-03-15 00:32:50,1653
2019-03-15 00:33:00,1653
2019-03-15 00:33:10,1.68
2019-03-15 00:33:20,1647
2019-03-15 00:33:30,1649
2019-03-15 00:33:40,1637
2019-03-15 00:33:50,1656
2019-03-15 00:34:00,1649
2019-03-15 00:34:10,1677
2019-03-15 00:34:20,1627
2019-03-15 00:34:30,1569
2019-03-15 00:34:40,1635
2019-03-15 00:34:50,1.61
2019-03-15 00:35:00,1641
2019-03-15 00:35:10,1587
2019-03-15 00:35:20,1569
2019-03-15 00:35:30,1658
2019-03-15 00:35:40,1712
2019-03-15 00:35:50,1589
2019-03-15 00:36:00,1642
2019-03-15 00:36:10,1.6
2019-03-15 00:36:20,1629
2019-03-15 00:36:30,1458
2019-03-15 00:36:40,1539
2019-03-15 00:36:50,1423
2019-03-15 00:37:00,1295
2019-03-15 00:37:10,1247
2019-03-15 00:37:20,1154
2019-03-15 00:37:30,1109
2019-03-15 00:37:40,1037
2019-03-15 00:37:50,1088
2019-03-15 00:38:00,1141
2019-03-15 00:38:10,976
2019-03-15 00:38:20,986
2019-03-15 00:38:30,1084
2019-03-15 00:38:40,1014
2019-03-15 00:38:50,807
2019-03-15 00:39:00,0.87
2019-03-15 00:39:10,759
2019-03-15 00:39:20,594
2019-03-15 00:39:30,528
2019-03-15 00:39:40,0.0
2019-03-15 00:39:50,0.0
2019-03-15 00:40:00,0.0
2019-03-15 00:40:10,0.0
2019-03-15 00:40:20,0.0
2019-03-15 00:40:30,0.0
2019-03-15 00:40:40,0.0
2019-03-15 00:40:50,0.0
2019-03-15 00:41:00,0.0
2019-03-15 00:41:10,0.0
2019-03-15 00:41:20,0.0
2019-03-15 00:41:30,0.0
2019-03-15 00:41:40,0.0
2019-03-15 00:41:50,0.0
2019-03-15 00:42:00,0.0
2019-03-15 00:42:10,0.0
2019-03-15 00:42:20,0.0
2019-03-15 00:42:30,0.0
