time,value
2019-03-14 23:52:10,8.12
2019-03-14 23:52:20,9.46
2019-03-14 23:52:30,7.18
2019-03-14 23:52:40,9.37
2019-03-14 23:52:50,6.23
2019-03-14 23:53:00,8.38
2019-03-14 23:53:10,7.2
2019-03-14 23:53:20,8.91
2019-03-14 23:53:30,6.94
2019-03-14 23:53:40,6.7
2019-03-14 23:53:50,6.22
2019-03-14 23:54:00,7.51
2019-03-14 23:54:10,7.69
2019-03-14 23:54:20,7.89
2019-03-14 23:54:30,6.44
2019-03-14 23:54:40,7.46
2019-03-14 23:54:50,7.89
2019-03-14 23:55:00,8.95
2019-03-14 23:55:10,6.98
2019-03-14 23:55:20,8.23
2019-03-14 23:55:30,8.38
2019-03-14 23:55:40,7.4
2019-03-14 23:55:50,7.93
2019-03-14 23:56:00,6.99
2019-03-14 23:56:10,7.42
2019-03-14 23:56:20,7.93
2019-03-14 23:56:30,7.51
2019-03-14 23:56:40,8.27
2019-03-14 23:56:50,6.01
2019-03-14 23:57:00,11.37
2019-03-14 23:57:10,10.62
2019-03-14 23:57:20,10.13
2019-03-14 23:57:30,9.92
2019-03-14 23:57:40,10.7
2019-03-14 23:57:50,10.13
2019-03-14 23:58:00,10.94
2019-03-14 23:58:10,10.59
2019-03-14 23:58:20,10.9
2019-03-14 23:58:30,10.42
2019-03-14 23:58:40,11.34
2019-03-14 23:58:50,10.16
2019-03-14 23:59:00,10.54
2019-03-14 23:59:10,9.56
2019-03-14 23:59:20,9.14
2019-03-14 23:59:30,8.79
2019-03-14 23:59:40,11.99
2019-03-14 23:59:50,12.02
2019-03-15 00:00:00,11.28
2019-03-15 00:00:10,12.05
2019-03-15 00:00:20,12.34
2019-03-15 00:00:30,10.24
2019-03-15 00:00:40,11.66
2019-03-15 00:00:50,12.79
2019-03-15 00:01:00,13.08
2019-03-15 00:01:10,9.9
2019-03-15 00:01:20,11.95
2019-03-15 00:01:30,11.28
2019-03-15 00:01:40,12.34
2019-03-15 00:01:50,10.54
2019-03-15 00:02:00,12.47
2019-03-15 00:02:10,11.79
2019-03-15 00:02:20,11.66
2019-03-15 00:02:30,11.17
2019-03-15 00:02:40,13.38
