time,value
2019-03-14 23:52:10,0.31
2019-03-14 23:52:20,0.34
2019-03-14 23:52:30,0.43
2019-03-14 23:52:40,0.44
2019-03-14 23:52:50,0.37
2019-03-14 23:53:00,0.31
2019-03-14 23:53:10,0.27
2019-03-14 23:53:20,0.38
2019-03-14 23:53:30,0.33
2019-03-14 23:53:40,0.35
2019-03-14 23:53:50,0.29
2019-03-14 23:54:00,0.25
2019-03-14 23:54:10,0.21
2019-03-14 23:54:20,0.25
2019-03-14 23:54:30,0.37
2019-03-14 23:54:40,0.39
2019-03-14 23:54:50,0.36
2019-03-14 23:55:00,0.3
2019-03-14 23:55:10,0.42
2019-03-14 23:55:20,0.35
2019-03-14 23:55:30,0.37
2019-03-14 23:55:40,0.31
2019-03-14 23:55:50,0.34
2019-03-14 23:56:00,0.29
2019-03-14 23:56:10,0.24
2019-03-14 23:56:20,0.2
2019-03-14 23:56:30,0.17
2019-03-14 23:56:40,0.15
2019-03-14 23:56:50,0.2
2019-03-14 23:57:00,0.25
2019-03-14 23:57:10,0.21
2019-03-14 23:57:20,0.18
2019-03-14 23:57:30,0.31
2019-03-14 23:57:40,0.26
2019-03-14 23:57:50,0.27
2019-03-14 23:58:00,0.39
2019-03-14 23:58:10,0.33
2019-03-14 23:58:20,0.28
2019-03-14 23:58:30,0.56
2019-03-14 23:58:40,0.47
2019-03-14 23:58:50,0.47
2019-03-14 23:59:00,0.48
2019-03-14 23:59:10,0.4
2019-03-14 23:59:20,0.42
2019-03-14 23:59:30,0.59
2019-03-14 23:59:40,0.58
2019-03-14 23:59:50,0.97
2019-03-15 00:00:00,0.9
2019-03-15 00:00:10,0.91
2019-03-15 00:00:20,0.85
2019-03-15 00:00:30,0.88
2019-03-15 00:00:40,1.04
2019-03-15 00:00:50,0.88
2019-03-15 00:01:00,0.98
2019-03-15 00:01:10,0.91
2019-03-15 00:01:20,0.77
2019-03-15 00:01:30,0.81
2019-03-15 00:01:40,0.68
2019-03-15 00:01:50,0.9
2019-03-15 00:02:00,0.76
2019-03-15 00:02:10,0.72
2019-03-15 00:02:20,0.69
2019-03-15 00:02:30,0.58
2019-03-15 00:02:40,0.49
2019-03-15 00:02:50,0.42
2019-03-15 00:03:00,1.11
2019-03-15 00:03:10,1.16
2019-03-15 00:03:20,1.06
2019-03-15 00:03:30,0.9
2019-03-15 00:03:40,1.22
2019-03-15 00:03:50,1.04
2019-03-15 00:04:00,0.88
2019-03-15 00:04:10,0.82
2019-03-15 00:04:20,0.69
2019-03-15 00:04:30,0.64
2019-03-15 00:04:40,0.54
2019-03-15 00:04:50,0.77
2019-03-15 00:05:00,0.72
2019-03-15 00:05:10,0.69
2019-03-15 00:05:20,0.73
2019-03-15 00:05:30,0.7
2019-03-15 00:05:40,0.59
2019-03-15 00:05:50,0.65
2019-03-15 00:06:00,0.55
2019-03-15 00:06:10,0.46
2019-03-15 00:06:20,0.54
2019-03-15 00:06:30,0.6
2019-03-15 00:06:40,0.66
2019-03-15 00:06:50,0.56
2019-03-15 00:07:00,0.54
2019-03-15 00:07:10,0.46
2019-03-15 00:07:20,0.46
2019-03-15 00:07:30,0.63
2019-03-15 00:07:40,0.85
2019-03-15 00:07:50,0.95
2019-03-15 00:08:00,0.96
2019-03-15 00:08:10,0.96
2019-03-15 00:08:20,0.9
2019-03-15 00:08:30,0.76
2019-03-15 00:08:40,0.71
2019-03-15 00:08:50,0.6
2019-03-15 00:09:00,0.51
2019-03-15 00:09:10,0.58
2019-03-15 00:09:20,0.49
2019-03-15 00:09:30,0.41
2019-03-15 00:09:40,0.35
2019-03-15 00:09:50,0.37
2019-03-15 00:10:00,0.31
2019-03-15 00:10:10,0.26
2019-03-15 00:10:20,0.37
2019-03-15 00:10:30,0.47
2019-03-15 00:10:40,0.55
2019-03-15 00:10:50,0.54
2019-03-15 00:11:00,0.45
2019-03-15 00:11:10,0.38
2019-03-15 00:11:20,0.96
2019-03-15 00:11:30,1.21
2019-03-15 00:11:40,1.11
2019-03-15 00:11:50,1.01
2019-03-15 00:12:00,1.23
2019-03-15 00:12:10,1.2
2019-03-15 00:12:20,1.02
2019-03-15 00:12:30,1.08
2019-03-15 00:12:40,1.15
2019-03-15 00:12:50,1.05
2019-03-15 00:13:00,1.04
2019-03-15 00:13:10,0.88
2019-03-15 00:13:20,0.89
2019-03-15 00:13:30,0.91
2019-03-15 00:13:40,0.92
2019-03-15 00:13:50,0.78
2019-03-15 00:14:00,1.1
2019-03-15 00:14:10,1.16
2019-03-15 00:14:20,1.6
2019-03-15 00:14:30,1.67
2019-03-15 00:14:40,1.66
2019-03-15 00:14:50,1.96
2019-03-15 00:15:00,2.03
2019-03-15 00:15:10,2.02
2019-03-15 00:15:20,2.38
2019-03-15 00:15:30,2.25
2019-03-15 00:15:40,2.29
2019-03-15 00:15:50,2.09
2019-03-15 00:16:00,1.93
2019-03-15 00:16:10,1.87
2019-03-15 00:16:20,1.82
2019-03-15 00:16:30,1.54
2019-03-15 00:16:40,1.38
2019-03-15 00:16:50,1.33
2019-03-15 00:17:00,1.28
2019-03-15 00:17:10,1.4
2019-03-15 00:17:20,1.34
2019-03-15 00:17:30,1.77
2019-03-15 00:17:40,1.67
2019-03-15 00:17:50,1.49
2019-03-15 00:18:00,1.26
2019-03-15 00:18:10,1.3
2019-03-15 00:18:20,1.32
2019-03-15 00:18:30,1.35
2019-03-15 00:18:40,1.14
2019-03-15 00:18:50,1.12
2019-03-15 00:19:00,1.18
2019-03-15 00:19:10,1.15
2019-03-15 00:19:20,1.29
2019-03-15 00:19:30,1.1
2019-03-15 00:19:40,1.41
2019-03-15 00:19:50,1.5
2019-03-15 00:20:00,1.35
2019-03-15 00:20:10,1.76
2019-03-15 00:20:20,1.73
2019-03-15 00:20:30,1.79
2019-03-15 00:20:40,1.51
2019-03-15 00:20:50,1.35
2019-03-15 00:21:00,1.59
2019-03-15 00:21:10,1.66
2019-03-15 00:21:20,1.49
2019-03-15 00:21:30,1.26
2019-03-15 00:21:40,1.68
2019-03-15 00:21:50,1.54
2019-03-15 00:22:00,1.84
2019-03-15 00:22:10,1.56
2019-03-15 00:22:20,1.32
2019-03-15 00:22:30,1.27
2019-03-15 00:22:40,1.22
2019-03-15 00:22:50,1.33
2019-03-15 00:23:00,1.58
2019-03-15 00:23:10,1.64
2019-03-15 00:23:20,2.0
2019-03-15 00:23:30,1.84
2019-03-15 00:23:40,1.95
2019-03-15 00:23:50,1.95
2019-03-15 00:24:00,1.65
2019-03-15 00:24:10,1.93
2019-03-15 00:24:20,1.85
2019-03-15 00:24:30,1.88
2019-03-15 00:24:40,1.83
2019-03-15 00:24:50,2.02
2019-03-15 00:25:00,2.08
2019-03-15 00:25:10,2.05
2019-03-15 00:25:20,1.81
2019-03-15 00:25:30,1.91
2019-03-15 00:25:40,1.78
2019-03-15 00:25:50,1.58
2019-03-15 00:26:00,1.34
2019-03-15 00:26:10,1.28
2019-03-15 00:26:20,1.78
2019-03-15 00:26:30,1.54
2019-03-15 00:26:40,1.67
2019-03-15 00:26:50,1.63
2019-03-15 00:27:00,1.6
2019-03-15 00:27:10,1.68
2019-03-15 00:27:20,1.81
2019-03-15 00:27:30,1.91
2019-03-15 00:27:40,1.69
2019-03-15 00:27:50,1.75
2019-03-15 00:28:00,1.95
2019-03-15 00:28:10,2.11
2019-03-15 00:28:20,2.02
2019-03-15 00:28:30,1.93
2019-03-15 00:28:40,2.02
2019-03-15 00:28:50,1.93
2019-03-15 00:29:00,1.71
2019-03-15 00:29:10,1.99
2019-03-15 00:29:20,1.84
2019-03-15 00:29:30,1.88
2019-03-15 00:29:40,1.91
2019-03-15 00:29:50,1.76
2019-03-15 00:30:00,1.64
2019-03-15 00:30:10,1.54
2019-03-15 00:30:20,1.93
2019-03-15 00:30:30,2.4
2019-03-15 00:30:40,2.72
2019-03-15 00:30:50,2.45
2019-03-15 00:31:00,2.15
2019-03-15 00:31:10,2.06
2019-03-15 00:31:20,2.06
2019-03-15 00:31:30,2.11
2019-03-15 00:31:40,2.17
2019-03-15 00:31:50,2.45
2019-03-15 00:32:00,2.44
