go.rudyc.auth_account; go.rudyc.create_account; go.rudyc.create_character; go.rudyc.move_character; go.rudyc.receive_chats; go.rudyc.roi_character; go.rudyc.select_character; go.rudyc.send_chat;
0,080614291; 0,169129373; 0,024543559; 0,00085441; 0,000916779; 0,007082293; 0,001046235; 0,000988835;
0,008065955; 0,054001368; 0,022501046; 0,001385851; 0,001133087; 0,009399907; 0,001004912; 0,000891839;
0,007954407; 0,030480418; 0,024626719; 0,000949853; 0,001091302; 0,008984468; 0,000936211; 0,001067355;
0,008100256; 0,056154767; 0,033324185; 0,004306216; 0,002872901; 0,007926519; 0,000752974; 0,001007568;
0,018694109; 0,049326239; 0,028923908; 0,000973808; 0,000950323; 0,006310361; 0,000954152; 0,001251351;
0,010114179; 0,025002262; 0,024923187; 0,001519057; 0,00133392; 0,01504228; 0,001301043; 0,001149745;
0,008435916; 0,030663923; 0,021276798; 0,001439735; 0,001559067; 0,01185119; 0,000874104; 0,0020707;
0,009817587; 0,023988614; 0,026321793; 0,00433426; 0,001998496; 0,008394288; 0,001594445; 0,001072061;
0,018983966; 0,027722255; 0,025038567; 0,001350142; 0,000930294; 0,01106591; 0,002027737; 0,001012243;
0,017891179; 0,025253367; 0,024422112; 0,001448734; 0,002462351; 0,036998219; 0,003064498; 0,00085461;
0,009569523; 0,030786373; 0,025178636; 0,001151733; 0,000945341; 0,017290242; 0,002325334; 0,001060887;
0,207815276; 0,036743787; 0,024808613; 0,002790272; 0,001643505; 0,010768815; 0,001694434; 0,006553624;
0,013349302; 0,024815273; 0,024996548; 0,008029586; 0,001549414; 0,014176642; 0,001591354; 0,001366608;
0,01604793;  0,221395227; 0,048724654; 0,003107754; 0,000957942; 0,010090597; 0,001302407; 0,0044803;
0,008748719; 0,023457387; 0,090555727; 0,00535369; 0,001199321; 0,028844245; 0,000915767; 0,001572401;
0,010447692; 0,030057805; 0,024944513; 0,000898268; 0,002299918; 0,018448629; 0,000996417; 0,002032191;
0,008783961; 0,028656203; 0,023566596; 0,001583738; 0,011337441; 0,017725653; 0,001816488; 0,001419283;
0,022847343; 0,02464083; 0,024868573; 0,014430499; 0,004194056; 0,035841853; 0,001943822; 0,005453549;
0,020037889; 0,047234803; 0,026813346; 0,00344491; 0,004157853; 0,014717043; 0,001613831; 0,002348193;
0,009614568; 0,020872847; 0,025362857; 0,003766383; 0,004816059; 0,011087472; 0,010201612; 0,00251726;
0,017132488; 0,026905487; 0,025295308; 0,003437823; 0,001927001; 0,015648566; 0,000903792; 0,0109908;
0,010572224; 0,040945515; 0,024238107; 0,016628292; 0,005650419; 0,019364952; 0,000860941; 0,004903507;
0,013624532; 0,024275939; 0,032107616; 0,012300133; 0,005277656; 0,010642193; 0,002991931; 0,007081328;
0,008544401; 0,035298386; 0,024090594; 0,011982025; 0,009539528; 0,025123364; 0,002364716; 0,001388318;
0,008430121; 0,04231283; 0,031346544; 0,009421632; 0,005178069; 0,019022863; 0,001547831; 0,00681178;
0,011050271; 0,028706782; 0,035327257; 0,001933042; 0,00507168; 0,021275214; 0,001534641; 0,0053586;
0,014116492; 0,02508868; 0,025734449; 0,01071019; 0,017897654; 0,009830402; 0,001130208; 0,00921169;
0,017383626; 0,024758797; 0,029971691; 0,006190733; 0,00600085; 0,026028672; 0,000923984; 0,003697204;
0,02211226;  0,02872417; 0,024424448; 0,024504608; 0,022699909; 0,047598156; 0,001147192; 0,008512381;
0,01074362;  0,030923395; 0,023190141; 0,016508954; 0,001831351; 0,024297227; 0,002781546; 0,003635174;
0,009314612; 0,034403022; 0,019188871; 0,008175514; 0,005510819; 0,074533369; 0,004150427; 0,012359777;
0,011632791; 0,029916849; 0,024715086; 0,004650781; 0,006188088; 0,025373971; 0,002424654; 0,014224149;
0,009406094; 0,027305764; 0,025071954; 0,014259652; 0,017277911; 0,03106261; 0,001426433; 0,029328318;
0,019447841; 0,035959204; 0,025385767; 0,02384749; 0,015378631; 0,019059256; 0,009893839; 0,018713236;
0,008825765; 0,022452754; 0,025238768; 0,011461442; 0,012845198; 0,048453632; 0,00813574; 0,004871334;
0,018646004; 0,021136254; 0,025218844; 0,022698651; 0,009091829; 0,030185056; 0,001593215; 0,00599196;
0,011118862; 0,028985172; 0,027066985; 0,011511944; 0,003366984; 0,02176374; 0,001396712; 0,001045842;
0,008316151; 0,02947088; 0,022252865; 0,006253222; 0,001847162; 0,036790744; 0,001192646; 0,001081556;
0,009669341; 0,026445513; 0,023771344; 0,013591666; 0,013885457; 0,032290683; 0,002101028; 0,00626313;
0,008230581; 0,031940381; 0,025367105; 0,02123261; 0,004910902; 0,064086932; 0,001084911; 0,007128432;
0,0; 0,0; 0,0; 0,005708876; 0,001041334; 0,032867995; 0,0; 0,002755929;
